,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
0,Adonis Thomas,2013,,76.75,77.75,85,99,40.5,139.5,34.5,133.5,232,7.5,9.25,9.5,13,11.66,3.32
1,Allen Crabbe,2013,31,77.25,78.25,83.25,103.5,36,139.5,30.5,134,197,4.7,8.25,8.5,10,10.67,3.32
2,Andre Roberson,2013,26,78.25,79,83,104.5,36.5,141,30,134.5,206,7.1,8.75,9.5,10,11.36,3.34
3,Archie Goodwin,2013,29,75.75,77.25,81.5,102,36,138,30,132,189,4.6,8.5,9,1,10.75,3.27
4,B.J. Young,2013,,74.25,75.5,80.25,99,36.2,139.3,30.1,133.2,179,4.7,8.5,9.5,,11.28,3.32
5,Ben McLemore,2013,7,75.5,76.75,79.75,100.5,42,142.5,32.5,133,189,5,8.75,9.5,6,11.87,3.27
6,Brandon Davies,2013,,80.5,82.25,85.5,108.5,31.5,140,26,134.5,242,8.6,9,11,7,11.22,3.5
7,Brandon Paul,2013,,74.75,76,82.25,98,39.5,137.5,33.5,131.5,201,5.3,8.5,9.5,15,11.16,3.37
8,C.J. Leslie,2013,,79.5,80.75,86.25,104.5,40.5,145,32.5,137,209,8,8.75,9,,10.19,3.1
9,C.J. McCollum,2013,10,74.25,75.25,78.25,96.5,38.5,135,32,128.5,197,8.6,8,9.5,13,11.02,3.32
10,Carrick Felix,2013,33,76.75,78.25,81.25,103.5,38.5,142,32,135.5,203,3.3,8.5,9.5,15,11.16,3.25
11,Cody Zeller,2013,4,82.75,84.25,82.75,106,37.5,143.5,35.5,141.5,230,4.8,8.5,10.5,17,10.82,3.15
12,Colton Iverson,2013,53,82.5,84,86,110,36.18,139.3,30.1,133.2,263,9.6,9.25,9.5,12,11.28,3.32
13,DeWayne Dedmon,2013,,82,83.5,88,109,32.5,141.5,28,137,239,8.4,9,11,8,12.75,3.4
14,Dennis Schroeder,2013,17,73,74,79.75,98,34,132,30,128,165,4.1,8.75,10.5,1,11.09,3.21
15,Deshaun Thomas,2013,58,77,79,82,104,32,136,28.5,132.5,220,9.1,8,8.75,5,12.94,3.53
16,Erick Green,2013,46,73.5,75,77.75,98,36.2,139.3,30.1,133.2,178,4.4,8.5,9,5,11.28,3.32
17,Erik Murphy,2013,49,80.75,81.5,82.5,108,29.5,137.5,24.5,132.5,240,8,8.75,9.75,13,12.19,3.57
18,Glen Rice,2013,35,76.5,77.75,81.25,101.5,40.5,142,33,134.5,211,8.5,8.5,9,10,10.99,3.25
19,Gorgui Dieng,2013,21,81.75,82.75,87.5,111.5,36.18,139.3,30.1,133.2,230,5.4,9,10,,11.28,3.32
20,Grant Jerrett,2013,40,80.75,82.25,86,109,34,143,28.5,137.5,232,10.1,8.5,9.25,2,11.85,3.51
21,Isaiah Canaan,2013,34,71,72,76.5,94.5,40.5,135,33,127.5,188,5.9,8.25,9.5,16,10.98,3.22
22,Jackie Carmichael,2013,,79.5,81,85.5,107,32,139,30,137,241,5.8,9,10.25,13,11.83,3.35
23,Jamaal Franklin,2013,41,76,77.25,83.25,103.5,36.2,139.3,30.1,133.2,191,8.3,8.5,8.25,,11.28,3.32
24,James Ennis,2013,50,77.75,79,83.5,104.5,36.5,141,29.5,134,201,4.5,8.5,8.75,7,11.55,3.4
25,James Southerland,2013,,79,80,85,106,32,138,29,135,221,8.1,8,9.5,5,10.9,3.38
26,Jeff Withey,2013,39,82.75,84.5,86,110.5,29,139.5,26.5,137,222,8.7,9,9.75,10,12.49,3.47
27,Kelly Olynyk,2013,13,82.75,84,81.75,108,29.5,137.5,24.5,132.5,234,6.7,8.5,10,5,11.42,3.59
